EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-4977882,Congestion,1,71,2020-12-31 22:08:00,2020-12-31 23:46:11,41.928104,-87.70771,,N Kedzie Blvd,Chicago,IL
T-4977884,Congestion,0,72,2020-12-31 23:06:00,2020-12-31 23:47:17,41.931042,-87.783272,2778.0,N Mobile Ave,Chicago,IL
T-4977885,Flow-Incident,0,214,2020-12-31 22:38:00,2020-12-31 23:47:17,41.9314,-87.757599,5248.0,W Diversey Ave,Chicago,IL
T-4977888,Congestion,0,72,2020-12-31 23:05:00,2020-12-31 23:46:11,41.96537,-87.708382,4622.0,N Kedzie Ave,Chicago,IL
T-4977889,Congestion,1,72,2020-12-31 22:13:00,2020-12-31 23:47:17,41.968521,-87.700462,2840.0,W Lawrence Ave,Chicago,IL
T-4977890,Congestion,0,70,2020-12-31 23:06:00,2020-12-31 23:47:17,41.986641,-87.71386,3397.0,W Ardmore Ave,Chicago,IL
T-4977891,Congestion,1,71,2020-12-31 21:18:00,2020-12-31 23:47:17,41.997921,-87.680145,2001.0,W Devon Ave,Chicago,IL
T-4977893,Congestion,1,72,2020-12-31 22:46:00,2020-12-31 23:48:13,41.813904,-87.596848,4417.0,S Woodlawn Ave,Chicago,IL
T-4977894,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:49:19,41.814056,-87.704254,4375.0,S Archer Ave,Chicago,IL
T-4977895,Congestion,1,72,2020-12-31 23:07:00,2020-12-31 23:49:19,41.909229,-87.777084,6056.0,North Ave,Chicago,IL
T-4977896,Congestion,0,72,2020-12-31 23:08:00,2020-12-31 23:49:19,41.910191,-87.701859,2996.0,W North Ave,Chicago,IL
T-4977897,Congestion,1,72,2020-12-31 23:06:00,2020-12-31 23:49:19,41.917889,-87.667442,2001.0,N Elston Ave,Chicago,IL
T-4977901,Flow-Incident,0,214,2020-12-31 23:07:00,2020-12-31 23:48:13,41.939701,-87.668671,3194.0,N Ashland Ave,Chicago,IL
T-4977904,Congestion,1,72,2020-12-31 22:13:00,2020-12-31 23:49:19,41.968521,-87.700462,2840.0,W Lawrence Ave,Chicago,IL
T-4977907,Congestion,0,72,2020-12-31 23:10:00,2020-12-31 23:52:26,41.736393,-87.721489,8609.0,S Pulaski Rd,Chicago,IL
T-4977909,Congestion,0,73,2020-12-31 23:10:00,2020-12-31 23:52:26,41.788219,-87.801376,,W 57th St,Summit Argo,IL
T-4977910,Congestion,0,72,2020-12-31 23:10:00,2020-12-31 23:52:26,41.807598,-87.744377,4822.0,W 47th St,Chicago,IL
T-4977912,Congestion,0,72,2020-12-31 23:10:00,2020-12-31 23:52:26,41.858398,-87.744507,1620.0,S Cicero Ave,Cicero,IL
T-4977915,Congestion,0,70,2020-12-31 23:10:00,2020-12-31 23:51:34,41.89978,-87.631317,934.0,N Clark St,Chicago,IL
T-4977916,Congestion,1,72,2020-12-31 22:57:00,2020-12-31 23:51:34,41.90099,-87.706711,3200.0,W Thomas St,Chicago,IL
T-4977917,Congestion,0,72,2020-12-31 23:10:00,2020-12-31 23:51:34,41.917049,-87.73632,4400.0,W Armitage Ave,Chicago,IL
T-4977918,Congestion,0,72,2020-12-31 23:10:00,2020-12-31 23:51:34,41.917358,-87.635429,1938.0,N Clark St,Chicago,IL
T-4977919,Congestion,0,72,2020-12-31 22:12:00,2020-12-31 23:51:34,41.924099,-87.759041,5310.0,W Fullerton Ave,Chicago,IL
