EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-2502332,Cold,Severe,2017-12-31 11:15:00,2017-12-31 17:15:00,44.5926,-92.4844,Bay City,WI
W-2511813,Fog,Moderate,2017-12-31 15:15:00,2017-12-31 16:55:00,28.804,-82.318,Inverness,FL
W-2511814,Fog,Moderate,2017-12-31 18:35:00,2017-12-31 19:15:00,28.804,-82.318,Inverness,FL
W-2511815,Fog,Moderate,2017-12-31 19:35:00,2017-12-31 20:15:00,28.804,-82.318,Inverness,FL
W-2516173,Snow,Light,2017-12-31 03:58:00,2017-12-31 04:58:00,46.3405,-87.3953,Gwinn,MI
W-2516174,Fog,Moderate,2017-12-31 05:38:00,2017-12-31 05:58:00,46.3405,-87.3953,Gwinn,MI
W-2516175,Snow,Light,2017-12-31 06:38:00,2017-12-31 06:58:00,46.3405,-87.3953,Gwinn,MI
W-2516176,Snow,Light,2017-12-31 20:45:00,2017-12-31 21:45:00,46.3405,-87.3953,Gwinn,MI
W-2529232,Snow,Light,2017-12-31 05:56:00,2017-12-31 17:56:00,40.4518,-105.0113,Loveland,CO
W-2529233,Snow,Light,2017-12-31 18:37:00,2018-01-01 14:40:00,40.4518,-105.0113,Loveland,CO
W-2532040,Cold,Severe,2017-12-31 22:56:00,2018-01-01 16:56:00,44.4505,-95.8219,Marshall,MN
W-2544071,Cold,Severe,2017-12-31 22:35:00,2018-01-01 16:35:00,47.4274,-92.4972,Eveleth,MN
W-2548160,Cold,Severe,2017-12-31 08:55:00,2017-12-31 18:15:00,45.1601,-93.846,Buffalo,MN
W-2561439,Fog,Moderate,2017-12-31 01:15:00,2017-12-31 01:35:00,41.1195,-101.7697,Ogallala,NE
W-2561440,Snow,Light,2017-12-31 03:35:00,2017-12-31 04:15:00,41.1195,-101.7697,Ogallala,NE
W-2561441,Fog,Moderate,2017-12-31 15:35:00,2017-12-31 16:55:00,41.1195,-101.7697,Ogallala,NE
W-2561442,Fog,Moderate,2017-12-31 17:15:00,2017-12-31 17:35:00,41.1195,-101.7697,Ogallala,NE
W-2561443,Snow,Light,2017-12-31 18:35:00,2017-12-31 18:55:00,41.1195,-101.7697,Ogallala,NE
W-2561444,Snow,Light,2017-12-31 19:15:00,2018-01-01 00:15:00,41.1195,-101.7697,Ogallala,NE
W-2573725,Cold,Severe,2017-12-31 05:55:00,2017-12-31 18:35:00,46.7245,-92.0445,Duluth,MN
W-2580506,Fog,Severe,2017-12-31 07:47:00,2017-12-31 12:06:00,34.0235,-118.2912,Los Angeles,CA
W-2580507,Fog,Severe,2017-12-31 12:26:00,2017-12-31 16:54:00,34.0235,-118.2912,Los Angeles,CA
W-2580508,Fog,Moderate,2017-12-31 18:30:00,2017-12-31 21:47:00,34.0235,-118.2912,Los Angeles,CA
W-2580509,Fog,Moderate,2017-12-31 22:47:00,2018-01-01 02:47:00,34.0235,-118.2912,Los Angeles,CA
